Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:48,0.597s,PASSED
check,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:48,0.067s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:48,0.000s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:48,0.191s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:48,0.000s,PASSED
Statement - Selected_icon = CustomKeywords.random.Rand_Icon_PS.rand_icon(81),Chrome 59.0.3071.115,Random Icon Selector\\r\\n,2017-07-24 16:13:48,2017-07-24 16:13:48,0.001s,PASSED
selectOptionByIndex,Chrome 59.0.3071.115,,2017-07-24 16:13:48,2017-07-24 16:13:49,0.451s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-24 16:13:49,2017-07-24 16:13:49,0.000s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:13:49,2017-07-24 16:13:49,0.050s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:13:49,2017-07-24 16:13:51,2.486s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-24 16:13:51,2017-07-24 16:13:51,0.010s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:13:51,2017-07-24 16:13:51,0.050s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:13:51,2017-07-24 16:14:14,23.080s,PASSED
click,Chrome 59.0.3071.115,Click to Design Tab\\r\\n,2017-07-24 16:14:14,2017-07-24 16:14:46,31.735s,FAILED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Send_to_review/Send_to_review_Add_Delete_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:14:46,2017-07-24 16:17:09,2m - 22.624s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:14:47,2017-07-24 16:15:05,18.501s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:15:05,2017-07-24 16:15:23,18.003s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:15:23,2017-07-24 16:15:24,0.523s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:15:24,2017-07-24 16:15:24,0.131s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:15:24,2017-07-24 16:15:26,1.729s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:15:26,2017-07-24 16:15:26,0.787s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:15:26,2017-07-24 16:15:26,0.000s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:15:26,2017-07-24 16:15:27,0.223s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:15:27,2017-07-24 16:15:27,0.000s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:15:27,2017-07-24 16:15:27,0.047s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:15:27,2017-07-24 16:16:11,43.931s,PASSED
